finding_id,resource_id,misconfiguration_type,severity,cvss_score,detected_at,status,remediation_guidance,compliance_controls
find-737649c64b,res-8e7a52848a,ENCRYPTION_DISABLED,High,7.6,2026-03-13T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-f1e73605fb,res-8e7a52848a,LOGGING_DISABLED,Medium,5.5,2026-02-21T15:01:58Z,RESOLVED,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-3b9a5a49b5,res-8e7a52848a,OPEN_SSH_PORT,Critical,8.8,2026-03-14T15:01:58Z,OPEN,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-ccace3685c,res-8e7a52848a,OPEN_RDP_PORT,Critical,8.9,2026-03-13T15:01:58Z,OPEN,Restrict RDP (port 3389) to VPN range only; consider disabling and using session manager.,CIS-5.3|NIST-SC-7|PCI-DSS-1.3
find-e779928455,res-8e7a52848a,OUTDATED_TLS,High,7.2,2026-03-01T15:01:58Z,OPEN,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-cd8526416b,res-8e7a52848a,UNROTATED_KEYS,High,7.7,2026-03-06T15:01:58Z,OPEN,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-b075346e25,res-2ba0bbb241,ENCRYPTION_DISABLED,High,7.6,2026-02-28T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-d10ef5c55c,res-2ba0bbb241,OPEN_SSH_PORT,Critical,9.2,2026-02-20T15:01:58Z,ACKNOWLEDGED,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-9bd79e0e38,res-2ba0bbb241,NO_BACKUP_POLICY,Medium,5.3,2026-03-15T15:01:58Z,RESOLVED,Attach a backup policy with defined RPO/RTO; enable automated snapshots.,SOC2-A1.2|ISO27001-A.12.3
find-003828b885,res-2ba0bbb241,OUTDATED_TLS,High,7.2,2026-03-18T15:01:58Z,RESOLVED,"Enforce TLS 1.2+ on all endpoints; disable SSLv3, TLS 1.0, and TLS 1.1.",PCI-DSS-4.1|NIST-SC-8|ISO27001-A.14.1
find-694173a60f,res-2ba0bbb241,UNROTATED_KEYS,High,7.2,2026-02-20T15:01:58Z,ACKNOWLEDGED,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
find-d6115301a6,res-af3191324d,ENCRYPTION_DISABLED,High,7.5,2026-02-27T15:01:58Z,OPEN,Enable server-side encryption using a managed or customer-managed key (KMS/CMK).,SOC2-CC6.7|ISO27001-A.10.1|PCI-DSS-3.4|NIST-SC-28
find-1513090d7b,res-af3191324d,LOGGING_DISABLED,Medium,5.3,2026-03-07T15:01:58Z,OPEN,Enable audit/access logging and route logs to a centralized SIEM or log archive.,SOC2-CC7.2|ISO27001-A.12.4|NIST-AU-2
find-29229fd643,res-af3191324d,OPEN_SSH_PORT,Critical,9.0,2026-02-26T15:01:58Z,OPEN,Restrict SSH (port 22) ingress to specific IP ranges or use a bastion/jump host.,CIS-5.2|NIST-SC-7|PCI-DSS-1.3
find-e9e9d82552,res-af3191324d,OPEN_RDP_PORT,Critical,8.6,2026-03-21T15:01:58Z,ACKNOWLEDGED,Restrict RDP (port 3389) to VPN range only; consider disabling and using session manager.,CIS-5.3|NIST-SC-7|PCI-DSS-1.3
find-a567213b9a,res-af3191324d,MISSING_RESOURCE_TAGS,Low,2.6,2026-02-23T15:01:58Z,OPEN,"Apply mandatory tags (owner, env, cost-center) via policy enforcement.",SOC2-CC1.4
find-e730e7a5ce,res-af3191324d,UNROTATED_KEYS,High,7.2,2026-02-26T15:01:58Z,ACKNOWLEDGED,Enable automatic key rotation (90-day policy); revoke stale keys immediately.,SOC2-CC6.1|NIST-IA-5|PCI-DSS-8.2
